Pro,Link,Con,Link
"Proponents of the death penalty say it is an important tool for preserving law and order, deters crime, and costs less than life imprisonment. They argue that retribution or ""an eye for an eye"" honors the victim, helps console grieving families, and ensures that the perpetrators of heinous crimes never have an opportunity to cause future tragedy.",https://deathpenalty.procon.org/,"Opponents of capital punishment say it has no deterrent effect on crime, wrongly gives governments the power to take human life, and perpetuates social injustices by disproportionately targeting people of color (racist) and people who cannot afford good attorneys (classist). They say lifetime jail sentences are a more severe and less expensive punishment than death.",https://deathpenalty.procon.org/
"Kentucky has adopted a method of execution believed to be the most humane available, one it shares with 35 other States... Kentucky's decision to adhere to its protocol...cannot be viewed as probative of the wanton infliction of pain under the Eighth Amendment...",,"the unacceptably high rate at which innocent persons are convicted of capital crimes, when coupled with the frequently prolonged delays before such errors are detected (and then often only fortuitously or by application of newly-developed techniques), compels the conclusion that execution under the Federal Death Penalty Act, by cutting off the opportunity for exoneration, denies due process and, indeed, is tantamount to foreseeable, state-sponsored murder of innocent human beings.""",
Most people who support the death penalty believe it is more cost effective than life in prison.,,"Death is not only an unusually severe punishment, unusual in its pain, in its finality, and in its enormity, but it serves no penal purpose more effectively than a less severe punishment... The fatal constitutional infirmity in the punishment of death is that it treats 'members of the human race as nonhumans, as objects to be toyed with and discarded. [It is] thus inconsistent with the fundamental premise of the Clause that even the vilest criminal remains a human being possessed of common human dignity.'",
"""Executions do not have to cost that much. We could hang them and re-use the rope. No cost! Or we could use firing squads and ask for volunteer firing squad members who would provide their own guns and ammunition. Again, no cost.""",,"the Nobel Peace Prize Winners have agreed that the death penalty is a particularly cruel and unusual punishment that should be abolished. It is especially unconscionable when imposed on children.""",
"""It is not cheaper to keep a criminal confined, because most of the time he will appeal just as much causing as many costs as a convict under death sentence. Being alive and having nothing better to do, he will spend his time in prison conceiving of ever-new habeas corpus petitions, which being unlimited, in effect cannot be rejected as res judicata. The cost is higher.""",,"""Amnesty International opposes the death penalty in all cases without exception. The death penalty is the ultimate denial of human rights. It is the premeditated and cold-blooded killing of a human being by the state in the name of justice. It violates the right to life as proclaimed in the Universal Declaration of Human Rights. It is the ultimate cruel, inhuman and degrading punishment.""",
"capital punishment does, in fact, save lives.""",,The Eighth and Fourteenth Amendments forbid imposition of the death penalty on offenders who were under the age of 18 when their crimes were committed...,
[O]ur recent research shows that each execution carried out is correlated with about 74 fewer murders the following year...,,"""Juries mete out the death penalty unfairly. The implementation of capital punishment includes discrimination on the basis of race, gender, and social class. That bias violates the Fourteenth Amendment's guarantee that all persons will have equal protection under the law.""",
"Throughout the 1990s, our society increased the number of executions, and the number of murders plummeted. Since 2001, there has been a decline in executions and an increase in murders.",,[A]ll of the studies conclude that the death penalty system is far more expensive than an alternative system in which the maximum sentence is life in prison.,
almost all modern studies and all the refereed studies find a significant deterrent effect of capital punishment,,"Studies of the California death penalty system, the largest in the US, have revealed that a death sentence costs at least 18 times as much as a sentence of life without parole would cost.",
"[There is] strong evidence for the deterrent effect of capital punishment... Each execution results, on average, in eighteen fewer murders with a margin of error of plus or minus ten.",,[T]here is not the slightest credible statistical evidence that capital punishment reduces the rate of homicide.,
"large and growing body of evidence that capital punishment may well have a deterrent effect, possibly a quite powerful one.",,"Innocent people are too often sentenced to death. Since 1973, over 156 people have been released from death rows in 26 states because of innocence. Nationally, at least one person is exonerated for every 10 that are executed.",https://www.aclu.org/other/case-against-death-penalty
The death penalty gives closure to the victim's families who have suffered so much.,https://www.balancedpolitics.org/death_penalty.htm,"The death penalty system in the US is applied in an unfair and unjust manner against people, largely dependent on how much money they have, the skill of their attorneys, race of the victim and where the crime took place.  People of color are far more likely to be executed than white people, especially if thevictim is white",
It creates another form of crime deterrent.,,"The death penalty is a waste of taxpayer funds and has no public safety benefit. The vast majority of law enforcement professionals surveyed agree that capital punishment does not deter violent crime; a survey of police chiefs nationwide found they rank the death penalty lowest among ways to reduce violent crime. They ranked increasing the number of police officers, reducing drug abuse, and creating a better economy with more jobs higher than the death penalty as the best ways to reduce violence. The FBI has found the states with the death penalty have the highest murder rates.",
DNA testing and other methods of modern crime scene science can now effectively eliminate almost all uncertainty as to a person's guilt or innocence.,,Capital punishment is cruel and unusual.,
It provides a deterrent for prisoners already serving a life sentence.,,Capital punishment denies due process of law.,
Prisoner parole or escapes can give criminals another chance to kill.,,The death penalty is not a viable form of crime control.,
It contributes to the problem of overpopulation in the prison system.,,Capital punishment wastes limited resources.,
"if you have killed someone, you should be killed too",http://www.bbc.co.uk/newsround/15007511,Opposing the death penalty does not indicate a lack of sympathy for murder victims.,
Giving a killer the death sentence will stop them - and others - doing it again,,Changes in death sentencing have proved to be largely cosmetic.,
The very small chance of executing the wrong person is balanced by the benefits to society of putting off other murderers,,A society that respects life does not deliberately kill human beings.,
guilty people deserve to be punished in proportion to the severity of their crime,http://www.bbc.co.uk/ethics/capitalpunishment/for_1.shtml,CAPITAL PUNISHMENT IS NOT A DETERRENT TO CAPITAL CRIMES,
"The measure of punishment in a given case must depend upon the atrocity of the crime, the conduct of the criminal and the defenceless and unprotected state of the victim. Imposition of appropriate punishment is the manner in which the courts respond to the society's cry for justice against the criminals. Justice demands that courts should impose punishment befitting the crime so that the courts reflect public abhorrence of the crime.",,CAPITAL PUNISHMENT IS UNFAIR,
The Death Penalty is Cheaper Than Feeding a Murderer for Life,https://www.thoughtco.com/arguments-for-the-death-penalty-721136,CAPITAL PUNISHMENT IS BARBARIC,
Families Deserve Closure,,CAPITAL PUNISHMENT IS UNJUSTIFIED RETRIBUTION,
Capital punishment is necessary to deliver justice -- especially to victims of murder and extreme violence. The death penalty provides for retribution against perpetrators and makes sure that they pay for their actions.,https://soapboxie.com/government/Arguments-for-and-aginst-the-death,CAPITAL PUNISHMENT COSTS MORE THAN INCARCERATION,
capital punishment is a huge deterrent we have to prevent others from committing heinous crimes. The best way to deal with crime obviously is to stop it from happening in the first place. ,,"INTERNATIONALLY, CAPITAL PUNISHMENT IS WIDELY VIEWED AS INHUMANE AND ANACHRONISTIC",
"Some criminals simply cannot be allowed to keep living because every moment they're alive is another minute that they're a threat to the community. These criminals must be killed because keeping them alive puts their fellow prisoners, their guards, and the wider community at risk.",,the death penalty is actually far more expensive to administer than life imprisonment. The State of California could reduce expenses by $1 billion over the next five years by abolishing capital punishment and commuting death row sentences to life imprisonment without parole.,https://www.thoughtco.com/arguments-for-the-death-penalty-721136
The death penalty is necessary because many victims' families will never be able to feel safe or live a normal life again if they know that the person who killed their family members is still alive.,,The death penalty puts innocent lives at risk.,https://oadp.org/facts/13-reasons
we simply can't afford to keep these people alive nor do we have any responsibility to do so.,,Poor quality defense leaves many sentenced to death.,
