Pro,Link,Con,Link
making guns more easily available is likely to lead to increased levels of injuries and fatalities.,https://daily.jstor.org/smoking-gun-battle-gun-control-statistical-significance/,"Supporters of the proposal [to allow concealed weapons to be carried on the campuses], such as the president of Florida Students for Concealed Carry, Erek Culbreath, argue that while it’s impossible to keep guns away from the bad guys, “you can level the playing field by giving law abiding citizens a chance to defend their bodies and their property.”",https://daily.jstor.org/smoking-gun-battle-gun-control-statistical-significance/
"if guns were harder to obtain, then there would be less guns lying around and therefore less shootings",https://www.theodysseyonline.com/pros-and-cons-of-gun-control,poverty seems to be a far more important factor in fatal shootings than the existence or otherwise of gun control laws.,https://daily.jstor.org/smoking-gun-battle-gun-control-statistical-significance/
"On the other hand, people aren't always aware of their surroundings while operating a firearm and accidents are bound to happen if given the opportunity. If guns were more accessible, accidents would be more likely to occur.",https://www.theodysseyonline.com/pros-and-cons-of-gun-control,"stricter gun control laws have little effect on rates of gun homicide, or possibly even a detrimental effect",https://daily.jstor.org/smoking-gun-battle-gun-control-statistical-significance/
"People are irresponsible, accidents happen, cabinets are left open, children are left unattended and guns are left lying around because some people have no regard for safety.",https://www.theodysseyonline.com/pros-and-cons-of-gun-control,people who wanted access to guns would get them one way or another,https://www.theodysseyonline.com/pros-and-cons-of-gun-control
"By creating more restrictions on legal purchases, it may be possible to reduce the number of mass casualty incidents that occur.",https://vittana.org/10-advantages-and-disadvantages-of-gun-control,citizens are able to defend themselves against threats and possibly save countless lives.,https://www.theodysseyonline.com/pros-and-cons-of-gun-control
people living in a home face a risk of homicide that is 40 times higher than people in a home without a firearm. The risk of a firearm-related suicide is 90 times higher when a gun is in a home.,https://vittana.org/10-advantages-and-disadvantages-of-gun-control,"If guns were made more accessible, we'd know more about them and how to responsibly handle a firearm. We would have more confidence in our ability to defend and protect ourselves. Guns, after all, are just inanimate objects and aren't something to be feared.",https://www.theodysseyonline.com/pros-and-cons-of-gun-control
People who shouldn’t own guns can still purchase them.,https://vittana.org/10-advantages-and-disadvantages-of-gun-control,Gun control legislation attempts to create more safety by creating more loops for legal owners to jump through to own a firearm. There will always be people who steal firearms or alter information on background checks to circumvent laws. Gun control legislation would likely create a separate black market for ownership for those who simply want a self-defense option.,https://vittana.org/10-advantages-and-disadvantages-of-gun-control
"Over 30% of unintentional deaths caused by firearms could be prevented by the addition of a loading indicator and a childproof safety lock. Even in gun control legislation included safety measures alone, lives could be saved.",https://vittana.org/10-advantages-and-disadvantages-of-gun-control,"nife attacks, vehicle attacks, and homemade explosives can do just as much damage as a gun can, and in some instances more damage, when put into the right hands.",https://vittana.org/10-advantages-and-disadvantages-of-gun-control
"The death toll due to guns is a major problem. There are studies pointing out the hazards of owning a gun. If the gun is eliminated, the risk and ultimately the number of deaths will decline.",https://www.quora.com/What-are-the-pros-and-cons-of-gun-control,"Most gun-related deaths in the US are from suicides, not homicides. That data point shows a need to improve access to mental health services, community supports, and other resources that can help people in crisis.",https://vittana.org/10-advantages-and-disadvantages-of-gun-control
Each year guns cause more deaths than they save lives. Because of this the right to own a gun must be strictly limited.,https://www.quora.com/What-are-the-pros-and-cons-of-gun-control,People fear guns because they don’t understand them.,https://vittana.org/10-advantages-and-disadvantages-of-gun-control
